symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2015-10-09 00:00:00+00:00,47.11,47.54,46.92,47.45,28600632,42.8158214963,43.2066260653,42.6431404077,43.1248297601,28600632,0.0,1.0
MSFT,2015-10-12 00:00:00+00:00,47.0,47.07,46.5,46.98,19769066,42.7158482345,42.7794675829,42.2614243171,42.6976712778,19769066,0.0,1.0
MSFT,2015-10-13 00:00:00+00:00,46.89,47.1299,46.56,46.56,19987816,42.6158749727,42.8339075682,42.3159551872,42.3159551872,19987816,0.0,1.0
MSFT,2015-10-14 00:00:00+00:00,46.68,47.1,46.53,46.65,24697766,42.4250169274,42.806733018,42.2886897521,42.3977514923,24697766,0.0,1.0
MSFT,2015-10-15 00:00:00+00:00,47.01,47.03,46.53,47.01,27189370,42.7249367128,42.7431136695,42.2886897521,42.7249367128,27189370,0.0,1.0
MSFT,2015-10-16 00:00:00+00:00,47.51,47.54,46.897,47.02,26450334,43.1793606302,43.2066260653,42.6222369075,42.7340251912,26450334,0.0,1.0
MSFT,2015-10-19 00:00:00+00:00,47.62,47.88,47.02,47.42,29387581,43.279333892,43.5156343291,42.7340251912,43.0975643251,29387581,0.0,1.0
MSFT,2015-10-20 00:00:00+00:00,47.77,47.81,47.02,47.44,30802235,43.4156610673,43.4520149806,42.7340251912,43.1157412818,30802235,0.0,1.0
MSFT,2015-10-21 00:00:00+00:00,47.2,47.99,47.11,47.92,25264710,42.8976178014,43.6156075909,42.8158214963,43.5519882425,25264710,0.0,1.0
MSFT,2015-10-22 00:00:00+00:00,48.03,48.95,47.09,47.53,56637074,43.6519615043,44.4881015123,42.7976445396,43.1975375869,56637074,0.0,1.0
MSFT,2015-10-23 00:00:00+00:00,52.87,54.07,52.25,52.3,135227059,48.0507850246,49.1414024263,47.4872993671,47.5327417588,135227059,0.0,1.0
MSFT,2015-10-26 00:00:00+00:00,54.25,54.32,52.5,52.53,64633324,49.3049950366,49.368614385,47.7145113257,47.7417767608,64633324,0.0,1.0
MSFT,2015-10-27 00:00:00+00:00,53.69,54.37,53.58,53.99,50999907,48.7960402491,49.4140567768,48.6960669873,49.0686945996,50999907,0.0,1.0
MSFT,2015-10-28 00:00:00+00:00,53.98,53.98,52.86,53.54,47000753,49.0596061212,49.0596061212,48.0416965463,48.6597130739,47000753,0.0,1.0
MSFT,2015-10-29 00:00:00+00:00,53.36,53.83,53.22,53.54,30202078,48.4961204637,48.923278946,48.3688817668,48.6597130739,30202078,0.0,1.0
MSFT,2015-10-30 00:00:00+00:00,52.64,53.99,52.62,53.32,46619761,47.8417500226,49.0686945996,47.8235730659,48.4597665503,46619761,0.0,1.0
MSFT,2015-11-02 00:00:00+00:00,53.24,53.36,52.62,52.85,30284982,48.3870587235,48.4961204637,47.8235730659,48.0326080679,30284982,0.0,1.0
MSFT,2015-11-03 00:00:00+00:00,54.15,54.39,52.9,52.93,36596931,49.2141102531,49.4322337335,48.0780504597,48.1053158947,36596931,0.0,1.0
MSFT,2015-11-04 00:00:00+00:00,54.4,54.88,54.06,54.18,37087849,49.4413222118,49.8775691725,49.132313948,49.2413756882,37087849,0.0,1.0
MSFT,2015-11-05 00:00:00+00:00,54.38,54.7,54.0,54.49,31468485,49.4231452551,49.7139765623,49.0777830779,49.523118517,31468485,0.0,1.0
MSFT,2015-11-06 00:00:00+00:00,54.92,54.98,53.964,54.085,32851204,49.9139230859,49.968453956,49.0450645559,49.1550351439,32851204,0.0,1.0
MSFT,2015-11-09 00:00:00+00:00,54.16,54.87,53.56,54.55,32513067,49.2231987315,49.8684806942,48.6778900306,49.577649387,32513067,0.0,1.0
MSFT,2015-11-10 00:00:00+00:00,53.51,54.13,53.27,54.07,55283697,48.6324476389,49.1959332964,48.4143241585,49.1414024263,55283697,0.0,1.0
MSFT,2015-11-11 00:00:00+00:00,53.65,54.2,53.46,53.7,36516260,48.7596863357,49.2595526449,48.5870052471,48.8051287275,36516260,0.0,1.0
MSFT,2015-11-12 00:00:00+00:00,53.32,53.9791,53.19,53.48,35361095,48.4597665503,49.0587881582,48.3416163317,48.6051822038,35361095,0.0,1.0
MSFT,2015-11-13 00:00:00+00:00,52.84,53.29,52.53,53.07,36848175,48.0235195896,48.4325011152,47.7417767608,48.2325545916,36848175,0.0,1.0
MSFT,2015-11-16 00:00:00+00:00,53.765,53.89,52.85,53.08,32165198,48.8642038367,48.9778098161,48.0326080679,48.2416430699,32165198,0.0,1.0
MSFT,2015-11-17 00:00:00+00:00,52.97,53.53,52.85,53.17,31546754,48.4688550286,48.9812688254,48.3590520722,48.651859956,31546754,0.36,1.0
MSFT,2015-11-18 00:00:00+00:00,53.85,53.98,52.9799,53.0,29710030,49.2740767093,49.3930299121,48.4779137725,48.4963057677,29710030,0.0,1.0
MSFT,2015-11-19 00:00:00+00:00,53.94,54.66,53.781,53.99,28149228,49.3564289266,50.0152466654,49.2109400093,49.4021801585,28149228,0.0,1.0
